#Table1
petroMag_r,petroMagErr_r,extinction_r,petroMag_g,extinction_g,petroR50_r,petroR90_r,velDisp,dered_r,dered_g,objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
17.90498,0.02910031,0.1133551,19.74862,0.1638564,2.60788,8.383709,375.1744,17.82649,19.59902,1237649921118175383,26.7377089164592,14.8266809233103,23.481,19.76287,17.93984,17.27574,16.9375,1035,301,6,138,483136160017704960,GALAXY,0.3302102,429,51820,455
17.83074,0.02133716,0.1148482,19.18029,0.1660147,2.140773,6.394145,247.0632,17.63271,18.95825,1237649921118175404,26.80609967577,14.8768864014453,21.15119,19.12427,17.74756,17.19138,16.88458,1035,301,6,138,483137534407239680,GALAXY,0.2478656,429,51820,460
17.58021,0.01811413,0.1249427,19.07911,0.1806064,2.361889,6.952203,255.6161,17.40162,18.79159,1237649921118240929,26.9712301296545,14.9075021152955,20.98858,18.97219,17.52656,16.9844,16.59659,1035,301,6,139,483154851715377152,GALAXY,0.2424838,429,51820,523
17.41758,0.01200122,0.1159645,18.47975,0.1676283,1.872167,5.309164,197.4344,17.18131,18.21992,1237649921118306436,27.094207230563,14.8276352209946,20.34219,18.38755,17.29727,16.84036,16.41614,1035,301,6,140,483156775860725760,GALAXY,0.1253623,429,51820,530
17.68738,0.01679949,0.1167404,18.80431,0.1687498,1.854494,5.291927,178.814,17.50878,18.60254,1237649954406531210,26.6873127075825,14.2107648401923,20.47075,18.77129,17.62552,17.08619,16.72662,1043,301,4,174,483138633918867456,GALAXY,0.1587396,429,51820,464
17.22569,0.03199594,0.1202682,18.2574,0.1738494,2.162649,6.172494,181.6606,16.92991,17.97675,1237649954406531239,26.7621664263743,14.228457402052,20.33183,18.1506,17.05017,16.53796,16.12039,1043,301,4,174,483147430011889664,GALAXY,0.1233784,429,51820,496
17.73696,0.0209984,0.104132,19.03951,0.1505243,2.365652,6.868898,230.4328,17.5498,18.86355,1237649954406662361,27.0315745177144,14.3129059001305,20.97808,19.01408,17.65393,17.07861,16.63802,1043,301,4,176,483151278302586880,GALAXY,0.1917503,429,51820,510
17.48682,0.01516398,0.07706266,18.63707,0.1113952,1.770326,4.913766,183.6859,17.35296,18.44182,1237651065727221939,126.54286165411,47.6256984564698,20.60495,18.55321,17.43003,17.01651,16.60297,1302,301,2,142,496696987484186624,GALAXY,0.1267247,441,51868,637
17.49307,0.01644456,0.09404366,18.54844,0.1359414,1.76827,5.208877,181.5168,17.28837,18.32487,1237651066263830685,125.460540972335,47.38945284827,20.48246,18.46081,17.38241,16.94647,16.60465,1302,301,3,138,496686817001629696,GALAXY,0.1430822,441,51868,600
17.80385,0.02310503,0.04486264,19.25422,0.06484958,2.153107,6.556008,253.1114,17.66067,19.10534,1237651066280083645,188.496601808997,64.9371893808915,21.63313,19.17019,17.70553,17.17627,16.76563,1302,301,3,386,675680445588858880,GALAXY,0.2381432,600,52317,511
17.61082,0.02623893,0.04039803,19.07172,0.05839593,2.38,8.013611,257.6953,17.64071,19.07911,1237651066816954478,188.318452042523,65.3763389721866,20.81391,19.1375,17.68111,17.1549,16.78461,1302,301,4,386,675681819978393600,GALAXY,0.22717,600,52317,516
17.67057,0.0157015,0.06187677,18.77978,0.08944376,1.636829,4.943255,211.0221,17.54151,18.61269,1237651067356053679,200.510457453853,64.8424597479607,21.03072,18.70213,17.60339,17.12033,16.78688,1302,301,5,420,679021307291002880,GALAXY,0.1474721,603,52056,377
17.11253,0.009514658,0.02637745,18.20387,0.03812898,1.545605,4.539316,215.2928,16.97303,18.07414,1237651067884535970,155.818416445419,63.2690554621258,20.17667,18.11227,16.99941,16.52161,16.1567,1302,301,6,292,549441385674074112,GALAXY,0.1382464,488,51914,8
17.55407,0.02266178,0.02387688,18.78586,0.03451437,1.777909,5.339052,197.5088,17.43691,18.66134,1237651067884601426,156.092675712989,63.3513227016963,21.13984,18.69585,17.46079,16.96622,16.68192,1302,301,6,293,549443584697329664,GALAXY,0.2028543,488,51914,16
16.97081,0.01082464,0.03883861,17.97098,0.05614176,1.980521,6.177864,196.7006,16.83653,17.85161,1237651067890630811,188.294683654605,66.1620973073753,19.99575,17.90775,16.87537,16.4427,16.11582,1302,301,6,385,675685943146997760,GALAXY,0.1342161,600,52317,531
17.7729,0.02989116,0.03945903,19.10552,0.05703859,2.249594,7.480349,203.1425,17.75945,19.14659,1237651067890696324,188.451391588164,66.0915052839849,21.35831,19.20363,17.79891,17.25883,16.92382,1302,301,6,386,675683744123742208,GALAXY,0.230424,600,52317,523
18.55822,0.02909962,0.07338951,20.29577,0.1060856,1.428779,4.094317,353.6176,18.34324,20.13634,1237651067890892994,189.804297568809,66.0344461112783,21.76151,20.24243,18.41663,17.79095,17.40344,1302,301,6,389,675709582646994944,GALAXY,0.3354177,600,52317,617
17.60085,0.02523429,0.04585721,18.93767,0.06628725,1.989356,6.653955,213.4665,17.56229,18.91827,1237651067892858985,200.383161136975,65.3054245581397,21.12672,18.98456,17.60815,17.09906,16.7522,1302,301,6,419,679008388029376512,GALAXY,0.2260085,603,52056,330
